Frequency (Hz)	Level (dB)
283.203125	-41.522072
284.179688	-43.743389
285.156250	-42.664703
286.132812	-43.135784
287.109375	-42.926292
288.085938	-42.079632
289.062500	-41.924507
290.039062	-41.947929
291.015625	-44.361950
291.992188	-43.693092
292.968750	-43.101494
293.945312	-43.316525
294.921875	-44.876583
295.898438	-44.325199
296.875000	-44.094368
297.851562	-44.563774
298.828125	-44.881680
299.804688	-43.723495
300.781250	-44.568768
301.757812	-44.523273
302.734375	-44.287102
303.710938	-44.877800
304.687500	-44.505909
305.664062	-45.644768
306.640625	-46.302586
307.617188	-45.769466
308.593750	-45.893623
309.570312	-45.193787
310.546875	-45.592491
311.523438	-45.726353
312.500000	-45.109413
313.476562	-44.668659
314.453125	-44.682938
315.429688	-46.092777
316.406250	-45.656155
317.382812	-46.032600
318.359375	-45.339993
319.335938	-46.422340
320.312500	-45.837578
321.289062	-45.179585
322.265625	-44.727200
323.242188	-44.821438
324.218750	-44.806709
325.195312	-44.106030
326.171875	-46.083965
327.148438	-45.742275
328.125000	-44.451515
329.101562	-44.618534
330.078125	-46.602203
331.054688	-45.677704
332.031250	-46.787128
333.007812	-45.096672
333.984375	-46.588310
334.960938	-45.846340
335.937500	-47.440041
336.914062	-45.492928
337.890625	-46.889156
338.867188	-46.972481
339.843750	-47.868378
340.820312	-47.770180
341.796875	-46.504986
342.773438	-47.520798
343.750000	-48.267208
344.726562	-47.546410
345.703125	-48.221489
346.679688	-47.665531
347.656250	-48.530437
348.632812	-47.180984
349.609375	-48.411728
350.585938	-47.963631
351.562500	-48.301319
352.539062	-48.629234
353.515625	-46.971985
354.492188	-48.517746
355.468750	-48.635006
356.445312	-48.847923
357.421875	-47.650948
358.398438	-48.931686
359.375000	-47.803841
360.351562	-48.609333
361.328125	-47.203941
362.304688	-48.458591
363.281250	-46.633652
364.257812	-49.127060
365.234375	-48.740154
366.210938	-47.502262
367.187500	-47.983509
368.164062	-47.184273
369.140625	-48.654453
370.117188	-48.276886
371.093750	-48.292210
372.070312	-48.545879
373.046875	-48.736645
374.023438	-48.467983
375.000000	-48.924797
375.976562	-48.787231
376.953125	-48.622429
377.929688	-49.242035
378.906250	-49.090107
379.882812	-49.229874
380.859375	-49.555374
381.835938	-48.795238
382.812500	-47.995197
383.789062	-47.708279
384.765625	-48.632690
385.742188	-49.254883
386.718750	-49.363487
387.695312	-51.035202
388.671875	-50.133381
389.648438	-48.115326
390.625000	-48.772442
391.601562	-48.030186
392.578125	-48.511238
393.554688	-49.217960
394.531250	-48.362789
395.507812	-49.147491
396.484375	-49.198723
397.460938	-49.391212
398.437500	-49.545010
399.414062	-50.468685
400.390625	-49.582661
401.367188	-50.083782
402.343750	-48.693005
403.320312	-50.111584
404.296875	-50.054146
405.273438	-48.513954
406.250000	-49.268208
407.226562	-48.760952
408.203125	-49.460346
409.179688	-49.507687
410.156250	-49.289433
411.132812	-50.120060
412.109375	-49.700947
413.085938	-49.999092
414.062500	-49.083103
415.039062	-49.149517
416.015625	-50.190758
416.992188	-50.057716
417.968750	-50.552303
418.945312	-51.256844
419.921875	-50.159206
420.898438	-51.177483
421.875000	-51.204945
422.851562	-51.319004
423.828125	-50.463913
424.804688	-49.095261
425.781250	-50.051971
426.757812	-51.240044
427.734375	-48.999954
