Frequency (Hz)	Level (dB)
283.203125	-51.776443
284.179688	-51.923149
285.156250	-52.605709
286.132812	-51.598240
287.109375	-50.950813
288.085938	-51.132664
289.062500	-53.018761
290.039062	-52.960781
291.015625	-52.267487
291.992188	-51.807472
292.968750	-52.512455
293.945312	-51.185879
294.921875	-52.979851
295.898438	-52.375446
296.875000	-52.734535
297.851562	-52.940727
298.828125	-54.408688
299.804688	-52.023396
300.781250	-51.597763
301.757812	-52.675278
302.734375	-51.956566
303.710938	-50.908207
304.687500	-51.333706
305.664062	-51.807144
306.640625	-52.094002
307.617188	-52.426514
308.593750	-53.295837
309.570312	-52.837646
310.546875	-51.731110
311.523438	-52.027088
312.500000	-52.515980
313.476562	-52.840336
314.453125	-53.038929
315.429688	-54.196613
316.406250	-54.511444
317.382812	-52.929562
318.359375	-53.177940
319.335938	-53.525417
320.312500	-53.557175
321.289062	-53.264946
322.265625	-54.039276
323.242188	-54.719925
324.218750	-55.286415
325.195312	-55.048069
326.171875	-53.927422
327.148438	-54.220417
328.125000	-54.738430
329.101562	-55.532215
330.078125	-54.328457
331.054688	-53.565483
332.031250	-53.520763
333.007812	-54.143219
333.984375	-53.825207
334.960938	-54.258522
335.937500	-55.074734
336.914062	-53.378323
337.890625	-55.714554
338.867188	-54.562748
339.843750	-53.723770
340.820312	-55.554581
341.796875	-55.342365
342.773438	-56.509449
343.750000	-53.757000
344.726562	-55.425480
345.703125	-55.199642
346.679688	-55.833092
347.656250	-57.700893
348.632812	-55.851704
349.609375	-55.573914
350.585938	-55.775856
351.562500	-55.497227
352.539062	-55.452744
353.515625	-55.045776
354.492188	-55.409508
355.468750	-54.400158
356.445312	-54.725178
357.421875	-55.158306
358.398438	-53.154274
359.375000	-54.162594
360.351562	-54.808754
361.328125	-55.197849
362.304688	-54.644524
363.281250	-54.936291
364.257812	-54.633656
365.234375	-57.131031
366.210938	-55.599445
367.187500	-55.883373
368.164062	-54.665104
369.140625	-55.897678
370.117188	-57.083855
371.093750	-55.316475
372.070312	-56.871780
373.046875	-55.653316
374.023438	-55.171844
375.000000	-55.794949
375.976562	-55.916237
376.953125	-55.779270
377.929688	-54.624203
378.906250	-55.050060
379.882812	-56.116776
380.859375	-54.809368
381.835938	-54.906502
382.812500	-56.270283
383.789062	-55.888271
384.765625	-55.721245
385.742188	-56.245823
386.718750	-55.162521
387.695312	-55.110363
388.671875	-57.443584
389.648438	-55.761368
390.625000	-56.484680
391.601562	-55.963844
392.578125	-56.097076
393.554688	-56.382164
394.531250	-56.249317
395.507812	-57.052666
396.484375	-55.855328
397.460938	-57.027763
398.437500	-56.308601
399.414062	-56.702538
400.390625	-56.305290
401.367188	-55.132572
402.343750	-55.208431
403.320312	-54.804993
404.296875	-56.777016
405.273438	-55.764374
406.250000	-57.761829
407.226562	-55.991264
408.203125	-55.615204
409.179688	-55.611473
410.156250	-56.304291
411.132812	-56.528488
412.109375	-56.077080
413.085938	-57.613583
414.062500	-57.032219
415.039062	-57.345463
416.015625	-56.413170
416.992188	-56.559727
417.968750	-57.175476
418.945312	-56.970119
419.921875	-57.453777
420.898438	-57.171551
421.875000	-55.936798
422.851562	-56.060326
423.828125	-55.747257
424.804688	-56.070087
425.781250	-55.837002
426.757812	-55.881214
427.734375	-55.114281
428.710938	-57.026077
429.687500	-56.429035
430.664062	-56.749619
431.640625	-55.246422
432.617188	-56.163857
433.593750	-57.749203
434.570312	-56.519047
435.546875	-56.364845
436.523438	-56.549919
437.500000	-55.374405
438.476562	-56.917522
439.453125	-55.685844
440.429688	-55.600880
441.406250	-55.387177
442.382812	-56.226391
443.359375	-56.028473
444.335938	-55.439693
445.312500	-56.434933
446.289062	-55.433483
447.265625	-54.755302
448.242188	-54.758343
449.218750	-55.571732
450.195312	-56.357376
451.171875	-55.549290
452.148438	-55.113129
453.125000	-55.005451
454.101562	-56.021156
455.078125	-55.545876
456.054688	-55.407478
457.031250	-54.934925
458.007812	-54.892750
458.984375	-55.717812
459.960938	-55.111286
460.937500	-55.099670
461.914062	-55.041042
462.890625	-55.269371
463.867188	-54.459965
464.843750	-53.753284
465.820312	-55.616241
466.796875	-55.580845
467.773438	-55.875999
468.750000	-56.300514
469.726562	-54.355846
470.703125	-54.334930
471.679688	-54.858364
472.656250	-55.309776
473.632812	-53.985950
474.609375	-54.605282
475.585938	-53.726334
476.562500	-55.352482
477.539062	-54.421936
478.515625	-55.144474
479.492188	-54.520355
480.468750	-54.185299
481.445312	-55.029510
482.421875	-54.176243
483.398438	-53.755638
484.375000	-53.524765
485.351562	-54.419655
486.328125	-54.835217
487.304688	-54.399403
488.281250	-52.957005
489.257812	-53.054527
490.234375	-53.723606
491.210938	-53.119602
492.187500	-54.292580
493.164062	-54.552032
494.140625	-54.307056
495.117188	-52.570057
496.093750	-50.993900
497.070312	-53.675537
498.046875	-52.403263
499.023438	-51.905575
500.000000	-53.418026
500.976562	-51.508675
501.953125	-52.042049
502.929688	-53.384434
503.906250	-53.318008
504.882812	-52.091293
505.859375	-52.145931
506.835938	-52.037773
507.812500	-52.027081
508.789062	-52.874077
509.765625	-53.972935
510.742188	-53.318630
511.718750	-51.896088
512.695312	-51.639389
513.671875	-53.229813
514.648438	-54.573776
515.625000	-54.127209
516.601562	-53.807621
517.578125	-53.426697
518.554688	-54.460335
519.531250	-53.713802
520.507812	-53.795200
521.484375	-53.929092
522.460938	-53.401115
523.437500	-54.800163
524.414062	-54.340908
525.390625	-53.404003
526.367188	-56.430614
527.343750	-56.302910
528.320312	-55.265434
529.296875	-54.402214
530.273438	-54.714931
531.250000	-54.106136
532.226562	-54.017799
533.203125	-55.819542
534.179688	-55.748055
535.156250	-55.798389
536.132812	-53.790905
537.109375	-55.493481
538.085938	-55.322014
539.062500	-55.718594
540.039062	-55.180351
541.015625	-55.875526
541.992188	-55.733368
542.968750	-54.409962
543.945312	-54.172588
544.921875	-55.113827
545.898438	-54.708141
546.875000	-53.558350
547.851562	-55.415287
548.828125	-54.353596
549.804688	-55.468922
550.781250	-56.618362
551.757812	-56.006161
552.734375	-54.177452
553.710938	-55.027695
554.687500	-55.313576
555.664062	-54.671375
556.640625	-55.967598
557.617188	-57.626072
558.593750	-55.696419
559.570312	-56.197365
560.546875	-55.935757
561.523438	-56.257381
562.500000	-57.328167
563.476562	-57.321110
564.453125	-56.486832
565.429688	-55.597057
566.406250	-57.450336
567.382812	-56.112274
568.359375	-55.793198
569.335938	-57.162674
570.312500	-57.356045
571.289062	-57.747654
572.265625	-59.079762
573.242188	-57.198170
574.218750	-57.577461
575.195312	-56.698761
576.171875	-57.440804
577.148438	-58.941486
578.125000	-58.883865
579.101562	-58.522526
580.078125	-57.881107
581.054688	-58.384686
582.031250	-58.846519
583.007812	-57.663116
583.984375	-57.614414
584.960938	-58.150124
585.937500	-57.985817
586.914062	-57.586975
587.890625	-58.646595
588.867188	-58.112904
589.843750	-58.829552
590.820312	-58.945389
591.796875	-59.157032
592.773438	-59.340782
593.750000	-58.350342
594.726562	-58.262066
595.703125	-57.919979
596.679688	-59.815269
597.656250	-60.376408
598.632812	-60.027306
599.609375	-60.079567
600.585938	-58.686363
601.562500	-59.015816
602.539062	-60.001488
603.515625	-59.289043
604.492188	-59.015289
605.468750	-58.782848
606.445312	-60.297634
607.421875	-60.567921
608.398438	-59.303535
609.375000	-59.079147
610.351562	-59.707096
611.328125	-59.498230
612.304688	-59.246162
613.281250	-59.847088
614.257812	-59.486256
615.234375	-61.295589
616.210938	-60.774700
617.187500	-60.777252
618.164062	-60.074162
619.140625	-60.957363
620.117188	-59.895111
621.093750	-59.066162
622.070312	-61.395157
623.046875	-59.031994
624.023438	-58.954536
625.000000	-60.432758
625.976562	-60.168049
626.953125	-60.179840
627.929688	-60.814625
628.906250	-59.738926
629.882812	-61.368534
630.859375	-60.115513
631.835938	-59.996181
632.812500	-60.328156
633.789062	-60.056885
634.765625	-61.077744
635.742188	-59.676022
636.718750	-59.471352
637.695312	-61.118862
638.671875	-61.816845
639.648438	-61.332600
640.625000	-61.831833
641.601562	-60.735641
642.578125	-60.393696
643.554688	-62.347469
644.531250	-61.303658
645.507812	-60.078186
646.484375	-61.098545
647.460938	-60.391415
648.437500	-60.377621
649.414062	-61.374722
650.390625	-61.685635
651.367188	-59.861549
652.343750	-60.551994
653.320312	-60.452927
654.296875	-60.192680
655.273438	-60.501778
656.250000	-60.674744
657.226562	-61.455128
658.203125	-60.351677
659.179688	-60.462696
660.156250	-59.396427
661.132812	-61.333065
662.109375	-59.791241
663.085938	-60.603790
664.062500	-61.198338
665.039062	-60.318829
666.015625	-59.517933
666.992188	-59.789719
667.968750	-60.085846
668.945312	-61.987343
669.921875	-60.186249
670.898438	-60.000614
671.875000	-61.043846
672.851562	-60.129204
673.828125	-59.814545
674.804688	-59.566807
675.781250	-59.927753
676.757812	-60.427231
677.734375	-58.981735
678.710938	-59.753628
679.687500	-58.608776
680.664062	-59.483273
681.640625	-58.588539
682.617188	-59.357201
683.593750	-58.618816
684.570312	-59.108891
685.546875	-59.712540
686.523438	-59.478161
687.500000	-58.310341
688.476562	-59.923801
689.453125	-59.101543
690.429688	-59.481518
691.406250	-58.317238
692.382812	-58.493473
693.359375	-57.007099
694.335938	-58.639568
695.312500	-59.566048
696.289062	-58.648472
697.265625	-58.421120
698.242188	-58.429565
699.218750	-57.995937
700.195312	-58.876190
701.171875	-57.416611
702.148438	-56.791718
703.125000	-57.768723
704.101562	-60.773773
705.078125	-57.715031
706.054688	-58.109661
707.031250	-57.267628
708.007812	-56.967205
708.984375	-57.381508
709.960938	-57.074554
710.937500	-57.752125
711.914062	-57.558109
712.890625	-56.909599
713.867188	-57.877613
714.843750	-57.699215
715.820312	-57.116947
716.796875	-57.202728
717.773438	-56.328461
718.750000	-57.672195
719.726562	-57.283104
720.703125	-56.332222
721.679688	-56.646458
722.656250	-55.758133
723.632812	-56.658394
724.609375	-56.858215
725.585938	-55.701511
726.562500	-56.881470
727.539062	-56.360332
728.515625	-55.027073
729.492188	-56.785069
730.468750	-57.070938
731.445312	-56.429649
732.421875	-56.205818
733.398438	-56.219482
734.375000	-56.449768
735.351562	-56.216888
736.328125	-55.495834
737.304688	-56.876225
738.281250	-56.839260
739.257812	-55.200947
740.234375	-55.731686
741.210938	-56.297440
742.187500	-56.032974
743.164062	-55.826939
744.140625	-55.897625
745.117188	-55.922523
746.093750	-55.973591
747.070312	-55.480953
748.046875	-55.446033
749.023438	-55.673946
750.000000	-55.002880
750.976562	-57.348431
751.953125	-57.436737
752.929688	-56.000443
753.906250	-55.733505
754.882812	-54.025501
755.859375	-55.182575
756.835938	-55.875988
757.812500	-55.362167
758.789062	-55.292633
759.765625	-55.980316
760.742188	-54.977207
761.718750	-58.203342
762.695312	-56.079628
763.671875	-55.674053
764.648438	-56.298271
765.625000	-56.110683
766.601562	-55.909973
767.578125	-55.938217
768.554688	-56.130890
769.531250	-54.742767
770.507812	-54.506912
771.484375	-55.168415
772.460938	-56.867073
773.437500	-55.536491
774.414062	-56.716232
775.390625	-56.493610
776.367188	-55.267612
777.343750	-55.916042
778.320312	-56.240532
779.296875	-56.970638
780.273438	-56.264011
781.250000	-56.815136
782.226562	-57.923332
783.203125	-56.344521
784.179688	-55.843884
785.156250	-56.103569
786.132812	-55.873360
787.109375	-57.162048
788.085938	-57.332798
789.062500	-57.159103
790.039062	-55.857075
791.015625	-55.321835
791.992188	-55.678749
792.968750	-55.613739
793.945312	-56.527691
794.921875	-55.466782
795.898438	-57.128002
796.875000	-57.627083
797.851562	-55.984119
798.828125	-57.801842
799.804688	-57.230228
800.781250	-56.997185
801.757812	-57.854183
802.734375	-55.912884
803.710938	-56.375980
804.687500	-57.002243
805.664062	-58.520058
806.640625	-56.961182
807.617188	-57.099995
808.593750	-57.116608
809.570312	-58.467525
810.546875	-58.945404
811.523438	-58.215252
812.500000	-60.044487
813.476562	-57.126354
814.453125	-57.910961
815.429688	-56.961082
816.406250	-56.184547
817.382812	-57.925903
818.359375	-58.057987
819.335938	-57.690601
820.312500	-59.388645
821.289062	-58.729435
822.265625	-58.560146
823.242188	-58.116924
824.218750	-58.514393
825.195312	-58.079590
826.171875	-59.564194
827.148438	-58.053616
828.125000	-57.894794
829.101562	-57.778633
830.078125	-57.846054
831.054688	-59.698788
832.031250	-59.341526
833.007812	-58.455631
833.984375	-58.668545
834.960938	-58.179676
835.937500	-58.110008
836.914062	-59.107094
837.890625	-58.146782
838.867188	-58.120285
839.843750	-57.779934
840.820312	-58.971832
841.796875	-59.943447
842.773438	-58.605892
843.750000	-58.878288
844.726562	-58.584511
845.703125	-58.960018
846.679688	-58.132538
847.656250	-59.887848
848.632812	-60.779621
849.609375	-59.104687
850.585938	-58.594471
851.562500	-60.147682
852.539062	-60.146755
853.515625	-58.615223
854.492188	-58.602386
855.468750	-61.138828
856.445312	-59.327511
857.421875	-59.456818
858.398438	-61.184204
859.375000	-60.094002
860.351562	-59.676472
861.328125	-60.005863
862.304688	-61.996586
863.281250	-59.292465
864.257812	-60.408772
865.234375	-60.792286
866.210938	-60.481045
867.187500	-59.787773
868.164062	-59.844173
869.140625	-59.548027
870.117188	-60.329414
871.093750	-58.581692
872.070312	-60.507328
873.046875	-60.487988
874.023438	-60.213078
875.000000	-60.146519
875.976562	-60.874882
876.953125	-60.577240
877.929688	-59.679989
878.906250	-60.664742
879.882812	-60.950539
880.859375	-60.168873
881.835938	-58.791107
882.812500	-61.055439
883.789062	-61.064472
884.765625	-60.053680
885.742188	-60.834511
886.718750	-59.935215
887.695312	-61.642258
888.671875	-60.305130
889.648438	-60.711548
890.625000	-60.333538
891.601562	-59.944035
892.578125	-60.304886
893.554688	-60.727043
894.531250	-60.688229
895.507812	-60.423603
896.484375	-62.361866
897.460938	-61.740406
898.437500	-60.839462
899.414062	-60.039452
900.390625	-60.147781
901.367188	-60.560497
902.343750	-61.058250
903.320312	-60.249313
904.296875	-59.589775
905.273438	-59.172478
906.250000	-60.371498
907.226562	-60.828430
908.203125	-59.659039
909.179688	-61.178165
910.156250	-61.370605
911.132812	-60.595776
912.109375	-58.997986
913.085938	-60.315777
914.062500	-60.821514
915.039062	-61.092056
916.015625	-59.954426
916.992188	-60.819992
917.968750	-60.077892
918.945312	-61.348087
919.921875	-60.377483
920.898438	-60.731850
921.875000	-60.198971
922.851562	-60.493202
923.828125	-60.528603
924.804688	-60.286285
925.781250	-60.521194
926.757812	-59.519035
927.734375	-59.433479
928.710938	-60.114243
929.687500	-59.545898
930.664062	-60.721573
931.640625	-60.027473
932.617188	-60.363625
933.593750	-61.966011
934.570312	-60.146290
935.546875	-59.509586
936.523438	-60.453072
937.500000	-61.016766
938.476562	-60.999279
939.453125	-60.477257
940.429688	-59.270859
941.406250	-60.518635
942.382812	-60.036259
943.359375	-59.799305
944.335938	-59.578072
945.312500	-59.844868
946.289062	-59.624355
947.265625	-60.674717
948.242188	-60.321766
949.218750	-58.289581
950.195312	-59.266453
951.171875	-58.536549
952.148438	-59.643219
953.125000	-58.744244
954.101562	-60.360790
955.078125	-59.408352
956.054688	-58.777748
957.031250	-59.145088
958.007812	-59.292759
958.984375	-58.949062
959.960938	-59.389629
960.937500	-59.659458
961.914062	-59.969631
962.890625	-59.913532
963.867188	-59.336830
964.843750	-59.126236
965.820312	-59.134232
966.796875	-60.046478
967.773438	-58.051346
968.750000	-58.126778
969.726562	-58.657082
970.703125	-58.516403
971.679688	-58.598892
972.656250	-57.840431
973.632812	-57.615261
974.609375	-57.884689
975.585938	-58.604874
976.562500	-58.878559
977.539062	-58.726078
978.515625	-57.713814
979.492188	-57.527878
980.468750	-58.696014
981.445312	-57.859039
982.421875	-59.875423
983.398438	-58.003952
984.375000	-57.144089
985.351562	-57.805077
986.328125	-59.011143
987.304688	-57.333485
988.281250	-58.109516
989.257812	-58.702576
990.234375	-59.145847
991.210938	-57.231728
992.187500	-56.164753
993.164062	-57.100826
994.140625	-57.351223
995.117188	-56.304428
996.093750	-57.181072
997.070312	-55.349358
998.046875	-56.690338
999.023438	-57.375839
1000.000000	-56.966320
1000.976562	-57.170391
1001.953125	-57.379848
1002.929688	-57.637634
1003.906250	-56.969894
1004.882812	-56.749912
1005.859375	-56.909576
1006.835938	-56.791702
1007.812500	-56.494808
1008.789062	-55.666191
1009.765625	-56.317036
1010.742188	-56.507145
1011.718750	-56.301712
1012.695312	-57.032814
1013.671875	-57.366390
1014.648438	-56.069958
1015.625000	-54.659542
1016.601562	-56.786091
1017.578125	-55.180527
1018.554688	-55.000492
1019.531250	-56.929153
1020.507812	-56.833252
1021.484375	-55.044277
1022.460938	-57.159534
1023.437500	-56.691429
1024.414062	-56.715759
1025.390625	-57.227177
1026.367188	-55.811821
1027.343750	-56.694248
1028.320312	-56.305412
1029.296875	-55.532932
1030.273438	-56.800640
1031.250000	-57.532688
1032.226562	-55.551964
1033.203125	-55.934937
1034.179688	-56.358318
1035.156250	-56.669380
1036.132812	-57.690872
1037.109375	-55.927891
1038.085938	-57.608330
1039.062500	-54.580250
1040.039062	-55.788212
1041.015625	-55.665726
1041.992188	-56.588058
1042.968750	-56.003059
1043.945312	-56.934727
1044.921875	-55.226700
1045.898438	-56.617054
1046.875000	-57.581837
1047.851562	-57.975121
1048.828125	-57.461456
1049.804688	-57.138634
1050.781250	-57.968815
1051.757812	-57.005516
1052.734375	-56.111317
1053.710938	-56.680576
1054.687500	-57.205288
1055.664062	-57.174339
1056.640625	-57.740383
1057.617188	-56.830486
1058.593750	-58.039928
1059.570312	-57.054737
1060.546875	-58.991222
1061.523438	-57.384830
1062.500000	-56.595684
1063.476562	-56.759998
1064.453125	-57.753700
1065.429688	-57.647327
1066.406250	-57.865540
1067.382812	-57.650017
1068.359375	-58.355930
1069.335938	-58.806335
1070.312500	-59.234066
1071.289062	-58.992714
1072.265625	-59.375755
1073.242188	-59.434898
1074.218750	-57.570934
1075.195312	-57.698475
1076.171875	-58.432007
1077.148438	-58.491600
1078.125000	-58.525608
1079.101562	-58.891102
1080.078125	-59.146770
1081.054688	-58.181004
1082.031250	-58.370960
1083.007812	-60.004673
1083.984375	-59.786854
1084.960938	-58.825714
1085.937500	-58.808125
1086.914062	-58.672611
1087.890625	-58.743950
1088.867188	-60.332340
1089.843750	-61.259769
1090.820312	-61.101887
1091.796875	-59.894127
1092.773438	-60.296867
1093.750000	-61.115192
1094.726562	-59.343639
1095.703125	-60.741619
1096.679688	-61.200096
1097.656250	-61.979256
1098.632812	-60.085518
1099.609375	-60.801876
1100.585938	-60.169144
1101.562500	-60.075630
1102.539062	-60.784809
1103.515625	-61.527710
1104.492188	-61.626183
1105.468750	-61.282177
1106.445312	-61.752804
1107.421875	-61.297958
1108.398438	-61.883247
1109.375000	-60.358662
1110.351562	-61.147919
1111.328125	-61.765659
1112.304688	-61.770420
1113.281250	-62.102058
1114.257812	-61.894764
1115.234375	-61.818481
1116.210938	-61.635742
1117.187500	-62.547447
1118.164062	-60.998535
1119.140625	-61.643074
1120.117188	-62.340191
1121.093750	-61.877304
1122.070312	-62.375957
1123.046875	-61.399387
1124.023438	-61.512009
1125.000000	-62.386967
1125.976562	-61.606018
1126.953125	-62.179291
1127.929688	-61.739067
1128.906250	-61.969437
1129.882812	-61.869465
1130.859375	-61.993641
1131.835938	-62.020203
1132.812500	-61.759628
1133.789062	-62.457718
1134.765625	-62.942608
1135.742188	-60.987244
1136.718750	-63.041088
1137.695312	-62.644363
1138.671875	-63.275429
1139.648438	-63.171318
1140.625000	-62.582085
1141.601562	-61.422028
1142.578125	-61.730446
1143.554688	-61.716774
1144.531250	-62.237907
1145.507812	-61.727898
1146.484375	-62.368065
1147.460938	-61.711212
1148.437500	-62.528706
1149.414062	-62.624268
1150.390625	-62.369503
1151.367188	-61.286503
1152.343750	-62.947975
1153.320312	-62.145321
1154.296875	-63.131557
1155.273438	-62.974533
1156.250000	-63.907925
1157.226562	-62.458290
1158.203125	-63.012878
1159.179688	-62.286366
1160.156250	-62.730976
1161.132812	-63.159313
1162.109375	-62.157707
1163.085938	-62.069332
1164.062500	-63.384022
1165.039062	-62.866283
1166.015625	-62.282223
1166.992188	-62.063381
1167.968750	-62.495110
1168.945312	-62.768852
1169.921875	-62.291779
1170.898438	-62.662418
1171.875000	-63.374043
1172.851562	-62.033775
1173.828125	-61.613262
1174.804688	-62.921940
1175.781250	-62.885342
1176.757812	-62.774136
1177.734375	-61.754009
1178.710938	-61.894112
1179.687500	-62.565384
1180.664062	-62.714462
1181.640625	-62.321644
1182.617188	-62.741608
1183.593750	-61.884266
1184.570312	-62.030338
1185.546875	-62.466583
1186.523438	-62.384731
1187.500000	-61.847660
1188.476562	-62.579685
1189.453125	-63.472099
1190.429688	-61.705303
1191.406250	-62.751625
1192.382812	-63.319962
1193.359375	-62.195164
1194.335938	-61.989639
1195.312500	-62.188282
1196.289062	-62.440540
1197.265625	-61.556744
1198.242188	-62.230736
1199.218750	-62.160980
1200.195312	-62.223629
1201.171875	-62.416870
1202.148438	-62.767376
1203.125000	-62.550529
1204.101562	-62.706245
1205.078125	-62.822872
1206.054688	-63.376514
1207.031250	-61.848969
1208.007812	-62.811138
1208.984375	-62.539589
1209.960938	-62.480225
1210.937500	-62.071968
1211.914062	-62.894627
1212.890625	-63.071011
1213.867188	-61.675648
1214.843750	-61.160923
1215.820312	-63.030895
1216.796875	-61.306591
1217.773438	-61.890030
1218.750000	-62.561852
1219.726562	-60.647694
