Frequency (Hz)	Level (dB)
283.203125	-57.479259
284.179688	-57.772675
285.156250	-59.366787
286.132812	-58.472904
287.109375	-57.681034
288.085938	-57.174423
289.062500	-58.509064
290.039062	-57.933071
291.015625	-57.364880
291.992188	-58.629662
292.968750	-58.830124
293.945312	-59.159008
294.921875	-58.465572
295.898438	-58.569298
296.875000	-58.530979
297.851562	-59.677773
298.828125	-57.531105
299.804688	-54.737469
300.781250	-53.990181
301.757812	-56.345013
302.734375	-57.395363
303.710938	-58.235683
304.687500	-56.618286
305.664062	-58.224907
306.640625	-60.415550
307.617188	-57.970020
308.593750	-59.858440
309.570312	-60.424183
310.546875	-61.469650
311.523438	-61.732315
312.500000	-58.930817
313.476562	-58.700943
314.453125	-60.724285
315.429688	-61.040226
316.406250	-59.799450
317.382812	-60.460476
318.359375	-60.133354
319.335938	-60.195972
320.312500	-60.359753
321.289062	-56.538174
322.265625	-55.782463
323.242188	-58.116413
324.218750	-58.319134
325.195312	-59.727962
326.171875	-59.617863
327.148438	-59.833305
328.125000	-61.080276
329.101562	-60.499027
330.078125	-59.626141
331.054688	-60.895588
332.031250	-60.895863
333.007812	-60.667824
333.984375	-60.721100
334.960938	-60.434208
335.937500	-60.286331
336.914062	-61.415314
337.890625	-61.439220
338.867188	-62.492050
339.843750	-62.237946
340.820312	-60.719296
341.796875	-60.370800
342.773438	-57.243618
343.750000	-56.246689
344.726562	-58.959599
345.703125	-58.704807
346.679688	-59.898136
347.656250	-59.941330
348.632812	-61.066105
349.609375	-61.978603
350.585938	-61.671112
351.562500	-61.090672
352.539062	-61.116974
353.515625	-61.778347
354.492188	-60.060390
355.468750	-62.580261
356.445312	-61.326042
357.421875	-60.581707
358.398438	-60.474617
359.375000	-61.788872
360.351562	-61.786743
361.328125	-62.014961
362.304688	-62.263603
363.281250	-59.690922
364.257812	-56.431763
365.234375	-56.918324
366.210938	-58.635994
367.187500	-58.970112
368.164062	-60.060482
369.140625	-60.968079
370.117188	-60.642357
371.093750	-60.717728
372.070312	-61.146664
373.046875	-61.975216
374.023438	-59.042149
375.000000	-60.738766
375.976562	-61.073982
376.953125	-60.432415
377.929688	-60.029800
378.906250	-59.857456
379.882812	-60.661701
380.859375	-59.428062
381.835938	-59.352112
382.812500	-60.101814
383.789062	-59.932484
384.765625	-57.414837
385.742188	-53.330887
386.718750	-54.151665
387.695312	-55.558346
388.671875	-56.994350
389.648438	-59.018703
390.625000	-58.446949
391.601562	-58.161777
392.578125	-58.661743
393.554688	-59.079895
394.531250	-59.591312
395.507812	-57.945408
396.484375	-59.213589
397.460938	-58.532558
398.437500	-57.689480
399.414062	-60.526421
400.390625	-58.370209
401.367188	-59.745949
402.343750	-57.621758
403.320312	-58.274895
404.296875	-57.265293
405.273438	-57.532074
406.250000	-54.956356
407.226562	-51.656269
408.203125	-51.683064
409.179688	-53.159206
410.156250	-52.963955
411.132812	-55.134773
412.109375	-54.100292
413.085938	-53.753979
