Frequency (Hz)	Level (dB)
283.203125	-57.377766
284.179688	-56.350368
285.156250	-57.229698
286.132812	-57.233818
287.109375	-56.432407
288.085938	-55.373436
289.062500	-56.392532
290.039062	-56.124386
291.015625	-57.383057
291.992188	-56.579128
292.968750	-56.575012
293.945312	-57.345875
294.921875	-56.336319
295.898438	-56.349270
296.875000	-57.178829
297.851562	-55.863384
298.828125	-56.134193
299.804688	-57.150536
300.781250	-57.638355
301.757812	-56.415939
302.734375	-56.577583
303.710938	-57.205524
304.687500	-57.507263
305.664062	-59.165356
306.640625	-60.222805
307.617188	-60.185848
308.593750	-60.102745
309.570312	-60.704220
310.546875	-62.624992
311.523438	-62.704376
312.500000	-64.423485
313.476562	-64.118004
314.453125	-64.163651
315.429688	-65.280807
316.406250	-65.666458
317.382812	-65.589157
318.359375	-67.488426
319.335938	-67.129585
320.312500	-68.112610
321.289062	-67.130707
322.265625	-67.698792
323.242188	-67.691650
324.218750	-68.014755
325.195312	-68.062683
326.171875	-67.110611
327.148438	-67.849640
328.125000	-66.686836
329.101562	-67.454048
330.078125	-68.199837
331.054688	-66.571526
332.031250	-65.972908
333.007812	-66.137733
333.984375	-67.008339
334.960938	-66.675484
335.937500	-66.603897
336.914062	-66.805267
337.890625	-65.635979
338.867188	-64.618996
339.843750	-66.038826
340.820312	-64.556290
341.796875	-64.905983
342.773438	-63.975822
343.750000	-65.464951
344.726562	-62.866467
345.703125	-63.705776
346.679688	-61.691738
347.656250	-62.151730
348.632812	-61.284168
349.609375	-61.098866
350.585938	-60.620003
351.562500	-60.441925
352.539062	-61.101555
353.515625	-60.402020
354.492188	-58.638969
355.468750	-58.597637
356.445312	-58.628742
357.421875	-57.366699
358.398438	-58.125641
359.375000	-58.507950
360.351562	-56.403912
361.328125	-57.394360
362.304688	-55.168156
363.281250	-55.388294
364.257812	-54.534760
365.234375	-53.535648
366.210938	-52.653824
367.187500	-52.088768
368.164062	-53.062225
369.140625	-52.031830
370.117188	-50.484726
371.093750	-50.628532
372.070312	-49.987427
373.046875	-50.001549
374.023438	-48.852127
375.000000	-48.471249
375.976562	-48.657036
376.953125	-48.774445
377.929688	-48.301842
378.906250	-48.369312
379.882812	-48.868336
380.859375	-48.053799
381.835938	-46.901920
382.812500	-48.419468
383.789062	-47.791233
384.765625	-47.786636
385.742188	-49.233715
386.718750	-49.156448
387.695312	-49.068466
388.671875	-49.254940
389.648438	-49.260281
